agent_id,model,route_chosen,pacing_chosen,total_time_min,energy_consumed,total_cost_usd,total_latency_ms,accuracy_pct,cost_per_correct_usd,on_time
agent-0039,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.25,14.28,4.8e-05,628.9,50.0,4.8e-05,True
agent-0040,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.39,11.9,0.000546,644.4,100.0,0.000273,True
agent-0041,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.14,11.9,0.001686,838.2,100.0,0.000843,True
agent-0042,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.39,11.9,0.00162,774.2,100.0,0.00081,True
agent-0043,anthropic/claude-haiku-4-5,Metro Transit Grid Delta,Standard,8.43,14.56,0.000548,659.7,50.0,0.000548,False
agent-0044,google/gemini-2.0-flash,Metro Transit Grid Delta,Standard,7.16,14.56,5.3e-05,582.4,50.0,5.3e-05,False
agent-0045,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.62,11.9,0.000595,765.2,100.0,0.000298,True
agent-0046,anthropic/claude-haiku-4-5,Metro Transit Grid Delta,Standard,8.02,14.56,0.000546,678.7,50.0,0.000546,False
agent-0047,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.34,11.9,5.9e-05,702.7,100.0,2.9e-05,True
agent-0048,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.25,11.9,0.000549,672.2,100.0,0.000275,True
agent-0049,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.25,11.9,5.7e-05,629.2,100.0,2.9e-05,True
agent-0050,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.01,11.9,5.2e-05,565.7,100.0,2.6e-05,True
agent-0051,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.92,11.9,0.000516,742.0,100.0,0.000258,True
agent-0052,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.8,11.9,0.001554,805.5,100.0,0.000777,True
agent-0053,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.99,11.9,0.000597,721.3,100.0,0.000298,True
agent-0054,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.2,11.9,0.000507,835.9,100.0,0.000253,True
agent-0055,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.33,11.9,0.00168,869.1,100.0,0.00084,True
agent-0056,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.47,11.9,5.1e-05,548.8,100.0,2.5e-05,True
agent-0057,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.25,11.9,0.001644,804.7,100.0,0.000822,True
agent-0058,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.0,11.9,5.1e-05,680.2,100.0,2.5e-05,True
agent-0059,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.0,11.9,0.000504,835.0,100.0,0.000252,True
agent-0060,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.29,11.9,0.001791,792.3,100.0,0.000896,True
agent-0061,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.25,11.9,5.1e-05,535.3,100.0,2.6e-05,True
agent-0062,google/gemini-2.0-flash,Expressway Alpha,Standard,5.22,13.2,5e-05,663.6,50.0,5e-05,False
agent-0063,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.31,11.9,0.000496,678.7,100.0,0.000248,True
agent-0064,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.73,11.9,0.000583,781.4,100.0,0.000291,True
agent-0065,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.03,11.9,4.9e-05,619.4,100.0,2.5e-05,True
agent-0066,anthropic/claude-haiku-4-5,Mountain Pass Beta,Push,6.27,14.28,0.000564,729.5,50.0,0.000564,True
agent-0067,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.95,11.9,6e-05,682.7,100.0,3e-05,True
agent-0068,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.15,11.9,0.000544,766.8,100.0,0.000272,True
agent-0069,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.88,11.9,0.000637,806.5,100.0,0.000318,True
agent-0070,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,8.32,9.52,5e-05,638.7,50.0,5e-05,True
agent-0071,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.79,11.9,0.001737,837.4,100.0,0.000868,True
agent-0072,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.78,11.9,0.000547,748.6,100.0,0.000273,True
agent-0073,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.43,11.9,0.000564,798.5,100.0,0.000282,True
agent-0074,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.58,11.9,0.001611,859.2,100.0,0.000806,True
agent-0075,anthropic/claude-haiku-4-5,Mountain Pass Beta,Push,6.08,14.28,0.000593,690.8,50.0,0.000593,True
agent-0076,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.16,11.9,5.3e-05,640.5,100.0,2.7e-05,True
agent-0077,anthropic/claude-haiku-4-5,Mountain Pass Beta,Conserve,8.89,9.52,0.000554,670.1,50.0,0.000554,True
agent-0078,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.42,11.9,0.00052,678.9,100.0,0.00026,True
agent-0079,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.05,11.9,0.000586,689.2,100.0,0.000293,True
agent-0080,anthropic/claude-haiku-4-5,Valley Highway Gamma,Standard,6.24,12.0,0.000566,717.9,50.0,0.000566,False
agent-0081,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.0,11.9,0.000487,731.1,100.0,0.000244,True
agent-0082,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.75,11.9,0.000555,681.8,100.0,0.000278,True
agent-0083,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.47,14.28,5.4e-05,583.3,50.0,5.4e-05,True
agent-0084,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.97,11.9,0.000582,718.6,100.0,0.000291,True
agent-0085,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.52,11.9,0.000581,732.9,100.0,0.00029,True
agent-0086,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.22,11.9,4.9e-05,688.3,100.0,2.4e-05,True
agent-0087,anthropic/claude-sonnet-5,Mountain Pass Beta,Push,6.31,14.28,0.001764,691.0,50.0,0.001764,True
agent-0088,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.53,11.9,5.4e-05,595.7,100.0,2.7e-05,True
agent-0089,anthropic/claude-haiku-4-5,Valley Highway Gamma,Standard,6.1,12.0,0.000543,691.1,50.0,0.000543,False
agent-0090,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.17,11.9,0.000551,686.9,100.0,0.000276,True
agent-0091,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.15,11.9,4.9e-05,689.8,100.0,2.5e-05,True
agent-0092,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,8.36,9.52,5.3e-05,715.3,50.0,5.3e-05,True
agent-0093,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.3,11.9,0.000619,677.5,100.0,0.000309,True
agent-0094,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.48,11.9,5.4e-05,601.8,100.0,2.7e-05,True
agent-0095,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.18,11.9,0.00052,651.3,100.0,0.00026,True
agent-0096,anthropic/claude-haiku-4-5,Mountain Pass Beta,Conserve,9.28,9.52,0.000571,735.9,50.0,0.000571,True
agent-0097,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.73,11.9,0.000536,660.6,100.0,0.000268,True
agent-0098,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.79,11.9,0.00061,751.4,100.0,0.000305,True
agent-0099,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.43,11.9,0.001659,779.2,100.0,0.000829,True
agent-0100,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.03,11.9,5.3e-05,742.8,100.0,2.7e-05,True
agent-0101,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.96,11.9,5e-05,618.4,100.0,2.5e-05,True
agent-0102,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.42,14.28,5.6e-05,651.9,50.0,5.6e-05,True
agent-0103,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.21,11.9,0.001764,758.8,100.0,0.000882,True
agent-0104,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.6,11.9,0.000577,669.9,100.0,0.000289,True
agent-0105,anthropic/claude-haiku-4-5,Mountain Pass Beta,Conserve,8.22,9.52,0.000496,739.8,50.0,0.000496,True
agent-0106,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.86,11.9,0.000626,761.2,100.0,0.000313,True
agent-0107,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.94,11.9,0.001758,879.6,100.0,0.000879,True
agent-0108,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.92,11.9,4.4e-05,707.7,100.0,2.2e-05,True
agent-0109,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.59,11.9,0.001806,862.8,100.0,0.000903,True
agent-0110,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.34,11.9,0.000596,706.7,100.0,0.000298,True
agent-0111,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.19,14.28,4.8e-05,584.8,50.0,4.8e-05,True
agent-0112,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.56,11.9,0.001629,830.0,100.0,0.000814,True
agent-0113,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.05,11.9,0.000607,792.8,100.0,0.000304,True
agent-0114,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.44,11.9,0.001545,736.6,100.0,0.000772,True
agent-0115,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.7,11.9,0.000578,805.6,100.0,0.000289,True
agent-0116,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.46,11.9,0.000577,750.8,100.0,0.000289,True
agent-0117,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.64,11.9,0.00168,817.2,100.0,0.00084,True
agent-0118,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.53,11.9,0.000539,686.6,100.0,0.000269,True
agent-0119,google/gemini-2.0-flash,Metro Transit Grid Delta,Conserve,9.27,11.65,5.1e-05,581.1,0.0,5.1e-05,False
agent-0120,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.7,11.9,0.001659,857.5,100.0,0.000829,True
agent-0121,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.05,11.9,0.000503,727.5,100.0,0.000251,True
agent-0122,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.35,11.9,0.001527,827.4,100.0,0.000764,True
agent-0123,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.92,11.9,0.000563,813.0,100.0,0.000282,True
agent-0124,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.24,11.9,0.000542,785.3,100.0,0.000271,True
agent-0125,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.1,11.9,0.001491,769.0,100.0,0.000746,True
agent-0126,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.89,11.9,0.000576,647.7,100.0,0.000288,True
agent-0127,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.17,11.9,0.00058,663.7,100.0,0.00029,True
agent-0128,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.92,11.9,5.5e-05,653.0,100.0,2.8e-05,True
agent-0129,anthropic/claude-haiku-4-5,Metro Transit Grid Delta,Standard,8.44,14.56,0.000588,719.7,50.0,0.000588,False
agent-0130,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.73,11.9,0.000615,685.6,100.0,0.000307,True
agent-0131,google/gemini-2.0-flash,Valley Highway Gamma,Standard,5.16,12.0,5.8e-05,539.4,50.0,5.8e-05,False
agent-0132,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.49,11.9,0.0006,709.4,100.0,0.0003,True
agent-0133,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.12,11.9,5.3e-05,636.6,100.0,2.6e-05,True
agent-0134,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.3,11.9,0.001563,839.3,100.0,0.000781,True
agent-0135,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.49,11.9,0.001623,807.3,100.0,0.000811,True
agent-0136,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.34,14.28,5.4e-05,578.1,50.0,5.4e-05,True
agent-0137,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.35,11.9,0.001704,843.4,100.0,0.000852,True
agent-0138,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.54,11.9,0.000531,777.8,100.0,0.000266,True
agent-0139,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.08,11.9,0.000581,807.3,100.0,0.000291,True
agent-0140,anthropic/claude-haiku-4-5,Expressway Alpha,Standard,5.9,13.2,0.00053,816.9,50.0,0.00053,False
agent-0141,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.51,11.9,5.3e-05,686.1,100.0,2.6e-05,True
agent-0142,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.14,11.9,0.001848,834.0,100.0,0.000924,True
agent-0143,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.39,11.9,0.001638,904.0,100.0,0.000819,True
agent-0144,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.61,11.9,5.6e-05,661.0,100.0,2.8e-05,True
agent-0145,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.36,11.9,0.000485,653.1,100.0,0.000242,True
agent-0146,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.87,11.9,0.000551,809.8,100.0,0.000276,True
agent-0147,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.14,11.9,0.001674,788.4,100.0,0.000837,True
agent-0148,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.24,11.9,5.4e-05,606.7,100.0,2.7e-05,True
agent-0149,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.66,11.9,0.000572,664.2,100.0,0.000286,True
agent-0150,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.77,11.9,0.000509,704.0,100.0,0.000255,True
agent-0151,google/gemini-2.0-flash,Expressway Alpha,Standard,5.22,13.2,5.2e-05,655.8,50.0,5.2e-05,False
agent-0152,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.19,14.28,5.2e-05,552.5,50.0,5.2e-05,True
agent-0153,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.52,11.9,0.00057,732.1,100.0,0.000285,True
agent-0154,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.76,11.9,0.00055,625.5,100.0,0.000275,True
agent-0155,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,7.43,9.52,4.8e-05,643.7,50.0,4.8e-05,True
agent-0156,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.51,11.9,5.6e-05,576.8,100.0,2.8e-05,True
agent-0157,anthropic/claude-haiku-4-5,Mountain Pass Beta,Push,6.23,14.28,0.000486,742.4,50.0,0.000486,True
agent-0158,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.99,11.9,5.3e-05,555.1,100.0,2.7e-05,True
agent-0159,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.01,11.9,0.000564,814.5,100.0,0.000282,True
agent-0160,anthropic/claude-haiku-4-5,Expressway Alpha,Standard,5.75,13.2,0.000592,735.3,50.0,0.000592,False
agent-0161,google/gemini-2.0-flash,Mountain Pass Beta,Standard,5.93,11.9,5.9e-05,633.0,100.0,2.9e-05,True
agent-0162,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,7.41,9.52,5.3e-05,696.3,50.0,5.3e-05,True
agent-0163,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.9,11.9,0.000504,681.6,100.0,0.000252,True
agent-0164,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.73,11.9,0.000532,654.7,100.0,0.000266,True
agent-0165,google/gemini-2.0-flash,Metro Transit Grid Delta,Standard,6.9,14.56,5.5e-05,650.3,50.0,5.5e-05,False
agent-0166,google/gemini-2.0-flash,Expressway Alpha,Standard,5.33,13.2,5.3e-05,670.3,50.0,5.3e-05,False
agent-0167,google/gemini-2.0-flash,Valley Highway Gamma,Conserve,6.97,9.6,4.7e-05,598.1,0.0,4.7e-05,False
agent-0168,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.01,11.9,4.8e-05,569.9,100.0,2.4e-05,True
agent-0169,anthropic/claude-haiku-4-5,Expressway Alpha,Standard,5.8,13.2,0.000559,763.8,50.0,0.000559,False
agent-0170,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.09,11.9,0.001536,797.7,100.0,0.000768,True
agent-0171,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.49,11.9,5.2e-05,582.5,100.0,2.6e-05,True
agent-0172,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.45,11.9,0.000572,704.9,100.0,0.000286,True
agent-0173,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.79,11.9,0.000542,843.6,100.0,0.000271,True
agent-0174,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.45,11.9,4.7e-05,681.3,100.0,2.3e-05,True
agent-0175,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.97,11.9,0.001617,734.3,100.0,0.000808,True
agent-0176,google/gemini-2.0-flash,Expressway Alpha,Standard,5.22,13.2,5.1e-05,578.6,50.0,5.1e-05,False
agent-0177,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.59,11.9,5.3e-05,566.2,100.0,2.6e-05,True
agent-0178,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.54,11.9,5.3e-05,681.2,100.0,2.6e-05,True
agent-0179,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,8.14,9.52,4.8e-05,625.0,50.0,4.8e-05,True
agent-0180,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.2,11.9,0.000606,766.2,100.0,0.000303,True
agent-0181,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,8.08,9.52,5.4e-05,619.7,50.0,5.4e-05,True
agent-0182,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.83,11.9,0.001746,863.8,100.0,0.000873,True
agent-0183,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.06,11.9,0.00054,689.6,100.0,0.00027,True
agent-0184,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.93,11.9,0.000535,815.3,100.0,0.000267,True
agent-0185,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.73,11.9,0.000607,717.5,100.0,0.000304,True
agent-0186,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.59,11.9,0.001578,775.2,100.0,0.000789,True
agent-0187,google/gemini-2.0-flash,Valley Highway Gamma,Standard,5.25,12.0,5.3e-05,698.1,50.0,5.3e-05,False
agent-0188,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.59,11.9,0.000532,701.5,100.0,0.000266,True
agent-0189,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.06,11.9,0.001695,852.8,100.0,0.000847,True
agent-0190,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.8,11.9,0.000599,749.3,100.0,0.0003,True
agent-0191,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.44,11.9,4.4e-05,719.7,100.0,2.2e-05,True
agent-0192,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.23,11.9,0.00056,801.1,100.0,0.00028,True
agent-0193,anthropic/claude-haiku-4-5,Mountain Pass Beta,Conserve,9.25,9.52,0.000598,739.5,50.0,0.000598,True
agent-0194,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.21,11.9,0.000612,776.6,100.0,0.000306,True
agent-0195,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.14,11.9,5.2e-05,738.3,100.0,2.6e-05,True
agent-0196,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.19,11.9,5.6e-05,624.8,100.0,2.8e-05,True
agent-0197,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.09,11.9,0.000619,792.3,100.0,0.000309,True
agent-0198,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.35,11.9,0.000549,643.3,100.0,0.000275,True
agent-0199,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.05,11.9,0.000513,763.6,100.0,0.000257,True
agent-0200,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.89,11.9,0.001659,759.3,100.0,0.000829,True
agent-0201,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.43,11.9,0.000597,803.2,100.0,0.000299,True
agent-0202,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.39,11.9,0.001716,773.7,100.0,0.000858,True
agent-0203,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.54,11.9,5.2e-05,633.6,100.0,2.6e-05,True
agent-0204,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.12,11.9,0.000591,723.1,100.0,0.000295,True
agent-0205,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.05,11.9,0.001626,734.1,100.0,0.000813,True
agent-0206,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,7.55,9.52,5.5e-05,641.3,50.0,5.5e-05,True
agent-0207,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.19,11.9,0.001494,874.3,100.0,0.000747,True
agent-0208,anthropic/claude-haiku-4-5,Metro Transit Grid Delta,Standard,8.64,14.56,0.000612,752.6,50.0,0.000612,False
agent-0209,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.16,11.9,0.000553,697.1,100.0,0.000276,True
agent-0210,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.63,11.9,5.1e-05,690.9,100.0,2.5e-05,True
agent-0211,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.01,11.9,0.00056,766.1,100.0,0.00028,True
agent-0212,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.94,11.9,0.000606,786.6,100.0,0.000303,True
